VDD,Corner,Temperature,Power
0.6,TT,27,3.157104719134717e-09
0.6,FF,0,2.7942214588203104e-09
0.6,TT,0,3.896945509304506e-09
0.6,FF,70,4.061349848599316e-08
0.6,FF,27,1.5684999634592956e-08
0.6,TT,70,2.8547146967469258e-08
0.8,TT,27,4.960799031767373e-08
0.8,FF,0,4.349264228621823e-08
0.8,TT,0,4.105304584396752e-08
0.8,FF,70,1.035803611637867e-07
0.8,FF,27,4.172719894403605e-08
0.8,TT,70,4.1740338549105814e-08
0.45,TT,27,4.206896529872616e-09
0.45,FF,0,6.256736403821439e-09
0.45,TT,0,1.568114105060328e-09
0.45,FF,70,1.6548878772155528e-08
0.45,FF,27,8.740544851680889e-09
0.45,TT,70,1.1066069716979664e-08
0.55,TT,27,1.3584939027777015e-08
0.55,FF,0,1.0692310453939317e-08
0.55,TT,0,3.507610567611977e-10
0.55,FF,70,2.015696192572704e-08
0.55,FF,27,2.054417576154936e-08
0.55,TT,70,1.800934640391171e-08
0.7,TT,27,1.6871131507564633e-08
0.7,FF,0,3.3860519748904376e-08
0.7,TT,0,1.7549790739671051e-09
0.7,FF,70,6.896314624231632e-08
0.7,FF,27,4.990037847096807e-08
0.7,TT,70,2.4262111300951383e-08
0.65,TT,27,2.14536216324282e-08
0.65,FF,0,3.2152190826608386e-08
0.65,TT,0,9.787972785048883e-09
0.65,FF,70,3.9089366407288544e-08
0.65,FF,27,3.84871210401888e-08
0.65,TT,70,1.6517315431298522e-08
0.75,TT,27,1.0953118059690107e-08
0.75,FF,0,2.097338090890732e-08
0.75,TT,0,3.389127925597946e-08
0.75,FF,70,4.3072715581056015e-08
0.75,FF,27,5.423315175249025e-08
0.75,TT,70,4.309650738726224e-08
0.5,TT,27,6.29207731746321e-09
0.5,FF,0,1.593103224588971e-09
0.5,TT,0,4.442238864034177e-09
0.5,FF,70,2.556050869299007e-08
0.5,FF,27,6.782831252452061e-09
0.50,TT,70,1.1624479224326362e-08
